ncmoe,loaded,n_ctx,vram_mib,rss_mib,prompt_n,prompt_tps,gen_n,gen_tps
0,yes,89600,21644,1243,2457,3360.4,6144,139.6
1,yes,103680,21696,1660,2457,2777.7,6144,129.1
2,yes,122368,21648,2183,2457,2300.9,6144,123.7
3,yes,144640,21640,2676,2457,1958.7,6144,119.2
4,yes,161280,21660,3163,2457,1734.7,6144,114.0
5,yes,179200,21664,3578,2457,1589.0,6144,108.3
6,yes,195584,21634,3998,2457,1472.8,6144,102.9
7,yes,211712,21602,4418,2457,1364.6,6144,98.9
8,yes,232192,21590,4911,2457,1276.5,6144,95.1
9,yes,258816,21704,5401,2457,1209.0,6144,93.4
10,yes,262144,21408,5810,2457,1153.5,6144,89.1
11,yes,262144,20976,6283,2457,1075.9,6144,87.2
12,yes,262144,20544,6756,2457,1008.1,6144,84.9
13,yes,262144,20182,7148,2457,961.9,6144,82.4
14,yes,262144,19818,7557,2457,917.8,6144,79.6
15,yes,262144,19386,8025,2457,877.3,6144,78.3
16,yes,262144,18954,8500,2457,837.9,6144,75.6
17,yes,262144,18590,8894,2457,808.2,6144,73.3
18,yes,262144,18224,9301,2457,779.6,6144,71.3
19,yes,262144,17860,9703,2457,751.1,6144,69.3
20,yes,262144,17430,10177,2457,724.0,6144,67.6
21,yes,262144,17066,10571,2457,702.5,6144,66.3
22,yes,262144,16702,10973,2457,681.8,6144,64.0
23,yes,262144,16336,11379,2457,659.6,6144,62.4
24,yes,262144,15972,11785,2457,635.9,6144,60.1
25,yes,262144,15608,12180,2457,615.9,6144,59.1
26,yes,262144,15246,12584,2457,596.9,6144,57.6
27,yes,262144,14882,12985,2457,580.7,6144,56.4
28,yes,262144,14450,13462,2457,559.9,6144,55.3
29,yes,262144,14086,13857,2457,546.8,6144,54.6
30,yes,262144,13720,14260,2457,533.3,6144,53.4
31,yes,262144,13356,14662,2457,518.4,6144,52.1
32,yes,262144,12926,15140,2457,504.5,6144,51.5
33,yes,262144,12494,15602,2457,489.2,6144,50.7
34,yes,262144,12062,16072,2457,476.5,6144,49.9
35,yes,262144,11628,16610,2457,460.8,6144,49.0
36,yes,262144,11196,17082,2457,449.7,6144,48.3
37,yes,262144,10764,17547,2457,437.3,6144,47.4
38,yes,262144,10332,18016,2457,426.8,6144,46.5
39,yes,262144,9834,18558,2457,414.8,6144,46.0
40,yes,262144,9336,19096,2457,402.8,6144,45.3
