ncmoe,loaded,n_ctx,vram_mib,rss_mib,prompt_n,prompt_tps,gen_n,gen_tps
0,yes,51200,20565,1117,2457,2787.1,6144,122.4
1,yes,64256,20591,1527,2457,2116.6,6144,97.1
2,yes,82688,20542,2049,2457,1645.5,6144,92.2
3,yes,104448,20519,2543,2457,1356.0,6144,88.9
4,yes,121088,20540,3033,2457,1164.2,6144,88.5
5,yes,137984,20522,3445,2457,1046.0,6144,80.6
6,yes,154880,20505,3866,2457,943.6,6144,75.8
7,yes,170496,20461,4288,2457,869.6,6144,73.0
8,yes,198912,20612,4789,2457,807.1,6144,75.2
9,yes,218112,20574,5271,2457,749.2,6144,69.3
10,yes,233984,20535,5691,2457,702.0,6144,66.9
11,yes,253440,20502,6183,2457,651.6,6144,64.9
12,yes,262144,20249,6661,2457,607.8,6144,66.7
13,yes,262144,19885,7059,2457,572.5,6144,62.6
14,yes,262144,19521,7463,2457,549.0,6144,60.7
15,yes,262144,19089,7934,2457,518.4,6144,59.2
16,yes,262144,18657,8408,2457,492.5,6144,60.8
17,yes,262144,18293,8802,2457,473.3,6144,56.9
18,yes,262144,17929,9206,2457,456.1,6144,55.7
19,yes,262144,17564,9610,2457,434.4,6144,54.3
20,yes,262144,17133,10085,2457,418.9,6144,54.7
21,yes,262144,16768,10477,2457,407.2,6144,52.7
22,yes,262144,16404,10881,2457,392.9,6144,51.4
23,yes,262144,16041,11285,2457,377.6,6144,50.0
24,yes,262144,15676,11691,2457,363.8,6144,50.1
25,yes,262144,15312,11915,2457,352.5,6144,48.4
26,yes,262144,14949,12319,2457,341.5,6144,47.0
27,yes,262144,14584,12722,2457,307.2,6144,42.9
28,yes,262144,14152,13196,2457,319.2,6144,44.7
29,yes,262144,13788,13591,2457,310.8,6144,43.5
30,yes,262144,13424,13994,2457,301.7,6144,41.9
31,yes,262144,13060,14397,2457,293.5,6144,41.3
32,yes,262144,12628,14871,2457,268.5,6144,39.0
33,yes,262144,12196,15334,2457,277.0,6144,40.0
34,yes,262144,11764,15805,2457,268.5,6144,39.2
35,yes,262144,11332,16341,2457,260.2,6144,38.2
36,yes,262144,10900,16815,2457,252.0,6144,37.6
37,yes,262144,10468,17277,2457,246.1,6144,36.5
38,yes,262144,10036,17748,2457,240.5,6144,35.6
39,yes,262144,9538,18286,2457,221.8,6144,32.7
40,yes,262144,9040,18826,2457,226.6,6144,34.5
